booking_id,room_id,organizer_id,meeting_title,meeting_type,start_datetime,end_datetime,duration_minutes,participant_count,status,created_datetime,natural_language_request,ai_match_score,notes
27,14,17,产品需求评审,需求评审,2024-01-25 16:00:00,2024-01-25 17:00:00,60,4,已完成,2024-01-24 14:50:00,需要小会议室进行产品需求评审,89,需求评审通过
28,6,15,技术选型讨论,技术选型,2024-01-26 10:00:00,2024-01-26 11:00:00,60,6,已完成,2024-01-25 15:30:00,需要视频会议室讨论技术选型,93,技术选型确定
29,12,5,用户增长策略会,增长策略,2024-01-26 14:30:00,2024-01-26 16:00:00,90,12,已完成,2024-01-25 11:20:00,需要培训室讨论用户增长策略,91,策略制定完成
30,20,8,客户满意度调研,客户调研,2024-01-26 16:30:00,2024-01-26 17:30:00,60,8,已完成,2024-01-25 13:45:00,需要会议室进行客户满意度调研,88,调研结果良好
31,7,11,代码质量改进会,代码质量,2024-01-29 09:00:00,2024-01-29 10:00:00,60,8,已确认,2024-01-26 16:00:00,需要会议室讨论代码质量改进,94,
32,13,20,设计规范讨论,设计规范,2024-01-29 10:30:00,2024-01-29 11:30:00,60,8,已确认,2024-01-26 14:30:00,需要标准会议室讨论设计规范,90,
33,9,7,市场竞争分析会,竞争分析,2024-01-29 14:00:00,2024-01-29 15:30:00,90,10,已确认,2024-01-26 11:45:00,需要产品评审室进行市场竞争分析,92,
34,2,13,单元测试培训,技术培训,2024-01-29 16:00:00,2024-01-29 17:00:00,60,6,已确认,2024-01-26 15:20:00,需要小会议室进行单元测试培训,87,
35,15,4,产品发布后评估,产品评估,2024-01-30 09:30:00,2024-01-30 11:00:00,90,10,已确认,2024-01-27 10:30:00,需要大会议室进行产品发布后评估,95,
36,18,23,销售数据分析,销售分析,2024-01-30 14:00:00,2024-01-30 15:00:00,60,10,已确认,2024-01-27 16:15:00,需要销售会议室分析销售数据,89,
37,1,1,月度总结会议,月度总结,2024-01-30 16:00:00,2024-01-30 17:00:00,60,8,已确认,2024-01-27 13:40:00,需要会议室进行月度工作总结,93,
38,4,25,HR政策更新说明,HR会议,2024-01-31 10:00:00,2024-01-31 11:00:00,60,2,已确认,2024-01-28 14:20:00,需要小会议室进行HR政策说明,86,
39,11,16,产品路线图更新,产品规划,2024-01-31 14:30:00,2024-01-31 15:30:00,60,6,已确认,2024-01-28 11:50:00,需要会议室更新产品路线图,88,
40,6,12,技术债务讨论,技术讨论,2024-01-31 16:00:00,2024-01-31 17:00:00,60,6,已确认,2024-01-28 15:30:00,需要视频会议室讨论技术债务,91,
41,3,2,新功能测试计划,测试计划,2024-02-01 09:00:00,2024-02-01 10:30:00,90,10,待确认,2024-01-29 16:45:00,需要大会议室制定新功能测试计划,94,
42,5,6,设计系统2.0规划,设计规划,2024-02-01 10:30:00,2024-02-01 12:00:00,90,12,待确认,2024-01-29 13:20:00,需要培训室规划设计系统2.0,92,
43,20,7,品牌升级讨论,品牌讨论,2024-02-01 14:00:00,2024-02-01 15:30:00,90,8,待确认,2024-01-29 10:35:00,需要会议室讨论品牌升级方案,89,
44,14,18,运营自动化方案,运营优化,2024-02-01 16:00:00,2024-02-01 17:00:00,60,4,待确认,2024-01-29 14:50:00,需要小会议室讨论运营自动化,87,
45,9,8,Q1销售策略会,销售策略,2024-02-02 09:30:00,2024-02-02 11:00:00,90,10,待确认,2024-01-30 11:25:00,需要产品评审室制定Q1销售策略,95,
46,19,24,客户成功案例分享,案例分享,2024-02-02 14:00:00,2024-02-02 15:00:00,60,5,待确认,2024-01-30 15:40:00,需要小会议室分享客户成功案例,88,
47,1,1,团队OKR制定,OKR制定,2024-02-02 16:00:00,2024-02-02 17:00:00,60,8,待确认,2024-01-30 12:30:00,需要会议室制定团队OKR,91,
48,7,15,架构安全评估,安全评估,2024-02-03 10:00:00,2024-02-03 11:00:00,60,8,待确认,2024-01-31 09:45:00,需要会议室进行架构安全评估,93,
49,12,5,用户体验优化会,体验优化,2024-02-03 14:30:00,2024-02-03 16:00:00,90,12,待确认,2024-01-31 16:20:00,需要培训室讨论用户体验优化,90,
50,21,26,财务预算评审,财务评审,2024-02-03 16:30:00,2024-02-03 17:30:00,60,3,待确认,2024-01-31 14:15:00,需要紧凑会议室进行财务预算评审,85,
